,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1911,Mumbai,2014,MARUTI,SWIFT,VXI,47704,1,Petrol,181000,447399,5000,442399,428501
1912,Mumbai,2021,MARUTI,NEW  WAGON-R,ZXI 1.2L AGS,3201,1,Petrol,474000,739399,29500,709899,700211
1913,Mumbai,2021,HONDA,CITY,V MT PETROL,1444,1,Petrol,474000,1192099,33200,1158899,1149211
1914,Mumbai,2021,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,29011,1,Petrol + CNG,507000,687199,0,687199,677511
1915,Mumbai,2022,KIA,CARENS,PRESTIGE PLUS 1.4G MT 7STR,1532,1,Petrol,474000,1735699,111500,1624199,1614511
1916,Mumbai,2017,HYUNDAI,VERNA,FLUIDIC 1.6 SX VTVT,43085,2,Petrol,169000,683999,38000,645999,626592
1917,Mumbai,2014,MARUTI,SWIFT DZIRE,VXI,61810,2,Petrol,181000,412999,11600,401399,387501
1918,Mumbai,2014,MARUTI,SWIFT,ZXI,18803,1,Petrol,181000,521499,30200,491299,481611
1919,Mumbai,2016,HYUNDAI,CRETA,1.6 CRDI SX PLUS AUTO,48985,2,Diesel,181000,1045399,30500,1014899,1005211
1920,Mumbai,2014,VOLKSWAGEN,POLO,HIGHLINE1.2L PETROL,83328,1,Petrol,102000,429099,5000,424099,414411
1921,Mumbai,2020,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,35539,1,Petrol + CNG,715000,609899,0,609899,597711
1922,Mumbai,2016,MARUTI,SWIFT DZIRE,VXI AMT,45471,2,Petrol,181000,607799,21600,586199,572301
1923,Mumbai,2018,MARUTI,SWIFT,VXI,36492,1,Petrol,169000,598799,17500,581299,571611
1924,Mumbai,2015,MARUTI,CELERIO,VXI AMT,10138,1,Petrol,181000,420599,0,420599,410911
1925,Mumbai,2015,MARUTI,ALTO K10,VXI,31065,1,Petrol,140000,314599,26600,287999,278311
1926,Mumbai,2021,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,45873,2,Petrol + CNG,507000,664099,49800,614299,602111
1927,Mumbai,2016,TOYOTA,COROLLA ALTIS,G,80440,1,Petrol,322000,845799,0,845799,836111
1928,Mumbai,2014,VOLKSWAGEN,POLO,GT TSI 1.2 PETROL AT,41194,1,Petrol,181000,569599,0,569599,559911
1929,Mumbai,2018,MARUTI,DZIRE,VXI,41059,1,Petrol,507000,639999,47000,592999,579101
1930,Mumbai,2022,HYUNDAI,AURA,S CNG,9215,1,Petrol + CNG,474000,906099,17400,888699,879011
1931,Mumbai,2022,VOLKSWAGEN,TAIGUN,TOPLINE 1.0 TSI MT,3504,1,Petrol,474000,1820299,128200,1692099,1682411
1932,Mumbai,2021,VOLKSWAGEN,VENTO,Highline 1.0 TSI MT,8689,1,Petrol,367000,1111999,24000,1087999,1078311
1933,Mumbai,2016,MARUTI,CELERIO,VXI AMT,15376,1,Petrol,181000,444299,12100,432199,419657
1934,Mumbai,2012,MARUTI,WAGON R 1.0,VXI,61548,1,Petrol,140000,298199,13300,284899,272357
